"X(um)";"Z(um)"
"0,000 ";"100,301 "
"2,790 ";"100,176 "
"5,580 ";"99,949 "
"8,370 ";"101,055 "
"11,160 ";"102,482 "
"13,950 ";"103,503 "
"16,739 ";"107,061 "
"19,529 ";"106,808 "
"22,319 ";"107,768 "
"25,109 ";"108,295 "
"27,899 ";"108,856 "
"30,689 ";"108,451 "
"33,479 ";"106,094 "
"36,269 ";"105,580 "
"39,059 ";"108,270 "
"41,849 ";"108,242 "
"44,638 ";"108,738 "
"47,428 ";"107,639 "
"50,218 ";"106,783 "
"53,008 ";"105,616 "
"55,798 ";"107,432 "
"58,588 ";"110,903 "
"61,378 ";"110,321 "
"64,168 ";"112,539 "
"66,958 ";"112,271 "
"69,748 ";"111,042 "
"72,538 ";"113,800 "
"75,327 ";"116,446 "
"78,117 ";"115,442 "
"80,907 ";"118,144 "
"83,697 ";"116,691 "
"86,487 ";"117,504 "
"89,277 ";"117,409 "
"92,067 ";"116,184 "
"94,857 ";"117,131 "
"97,647 ";"115,602 "
"100,437 ";"113,725 "
"103,227 ";"111,720 "
"106,016 ";"110,969 "
"108,806 ";"104,227 "
"111,596 ";"99,795 "
"114,386 ";"96,134 "
"117,176 ";"93,665 "
"119,966 ";"92,014 "
"122,756 ";"95,607 "
"125,546 ";"97,683 "
"128,336 ";"98,701 "
"131,126 ";"99,767 "
"133,915 ";"100,370 "
"136,705 ";"101,755 "
"139,495 ";"102,111 "
"142,285 ";"101,330 "
"145,075 ";"100,405 "
"147,865 ";"98,679 "
"150,655 ";"99,337 "
"153,445 ";"100,458 "
"156,235 ";"101,720 "
"159,025 ";"106,919 "
"161,815 ";"110,241 "
"164,604 ";"110,957 "
"167,394 ";"111,324 "
"170,184 ";"106,700 "
"172,974 ";"103,523 "
"175,764 ";"103,825 "
"178,554 ";"101,065 "
"181,344 ";"103,713 "
"184,134 ";"99,309 "
"186,924 ";"97,871 "
"189,714 ";"98,823 "
"192,504 ";"101,511 "
"195,293 ";"102,347 "
"198,083 ";"99,205 "
"200,873 ";"101,324 "
"203,663 ";"99,033 "
"206,453 ";"99,894 "
"209,243 ";"102,403 "
"212,033 ";"105,634 "
"214,823 ";"103,062 "
"217,613 ";"103,134 "
"220,403 ";"104,762 "
"223,192 ";"103,098 "
"225,982 ";"102,518 "
"228,772 ";"100,166 "
"231,562 ";"100,504 "
"234,352 ";"105,118 "
"237,142 ";"107,185 "
"239,932 ";"107,263 "
"242,722 ";"106,727 "
"245,512 ";"105,666 "
"248,302 ";"101,268 "
"251,092 ";"98,458 "
"253,881 ";"100,601 "
"256,671 ";"102,443 "
"259,461 ";"102,520 "
"262,251 ";"101,565 "
"265,041 ";"97,741 "
"267,831 ";"88,074 "
"270,621 ";"81,933 "
"273,411 ";"85,597 "
"276,201 ";"87,878 "
"278,991 ";"88,570 "
"281,781 ";"90,810 "
"284,570 ";"94,830 "
"287,360 ";"94,200 "
"290,150 ";"93,691 "
"292,940 ";"93,325 "
"295,730 ";"93,251 "
"298,520 ";"95,256 "
"301,310 ";"97,480 "
"304,100 ";"99,260 "
"306,890 ";"100,430 "
"309,680 ";"102,655 "
"312,469 ";"101,609 "
"315,259 ";"98,673 "
"318,049 ";"100,899 "
"320,839 ";"101,290 "
"323,629 ";"99,985 "
"326,419 ";"99,089 "
"329,209 ";"99,592 "
"331,999 ";"101,325 "
"334,789 ";"103,341 "
"337,579 ";"104,817 "
"340,369 ";"105,572 "
"343,158 ";"105,973 "
"345,948 ";"106,711 "
"348,738 ";"105,508 "
"351,528 ";"104,844 "
"354,318 ";"104,996 "
"357,108 ";"103,577 "
"359,898 ";"104,169 "
"362,688 ";"102,676 "
"365,478 ";"101,925 "
"368,268 ";"103,142 "
"371,057 ";"102,623 "
"373,847 ";"99,743 "
"376,637 ";"96,130 "
"379,427 ";"94,343 "
"382,217 ";"91,887 "
"385,007 ";"87,222 "
"387,797 ";"83,771 "
"390,587 ";"82,375 "
"393,377 ";"81,711 "
"396,167 ";"80,719 "
"398,957 ";"78,949 "
"401,746 ";"75,565 "
"404,536 ";"71,385 "
"407,326 ";"70,261 "
"410,116 ";"67,050 "
"412,906 ";"62,828 "
"415,696 ";"60,358 "
"418,486 ";"59,084 "
"421,276 ";"57,784 "
"424,066 ";"56,349 "
"426,856 ";"53,637 "
"429,646 ";"49,968 "
"432,435 ";"46,190 "
"435,225 ";"40,862 "
"438,015 ";"34,865 "
"440,805 ";"28,328 "
"443,595 ";"23,424 "
"446,385 ";"21,607 "
"449,175 ";"24,088 "
"451,965 ";"25,690 "
"454,755 ";"26,985 "
"457,545 ";"28,015 "
"460,334 ";"28,789 "
"463,124 ";"29,357 "
"465,914 ";"29,783 "
"468,704 ";"30,124 "
"471,494 ";"30,419 "
"474,284 ";"30,696 "
"477,074 ";"30,969 "
"479,864 ";"31,237 "
"482,654 ";"31,498 "
"485,444 ";"31,742 "
"488,234 ";"31,960 "
"491,023 ";"32,139 "
"493,813 ";"32,266 "
"496,603 ";"32,327 "
"499,393 ";"32,306 "
"502,183 ";"32,191 "
"504,973 ";"31,971 "
"507,763 ";"31,644 "
"510,553 ";"31,214 "
"513,343 ";"30,686 "
"516,133 ";"30,072 "
"518,923 ";"29,384 "
"521,712 ";"28,638 "
"524,502 ";"27,851 "
"527,292 ";"27,044 "
"530,082 ";"26,239 "
"532,872 ";"25,458 "
"535,662 ";"24,718 "
"538,452 ";"24,035 "
"541,242 ";"23,423 "
"544,032 ";"22,894 "
"546,822 ";"22,456 "
"549,611 ";"22,118 "
"552,401 ";"21,886 "
"555,191 ";"21,765 "
"557,981 ";"21,755 "
"560,771 ";"21,857 "
"563,561 ";"22,067 "
"566,351 ";"22,378 "
"569,141 ";"22,774 "
"571,931 ";"23,238 "
"574,721 ";"23,741 "
"577,511 ";"24,246 "
"580,300 ";"24,706 "
"583,090 ";"25,063 "
"585,880 ";"25,213 "
"588,670 ";"24,750 "
"591,460 ";"28,023 "
"594,250 ";"31,128 "
"597,040 ";"34,193 "
"599,830 ";"37,290 "
"602,620 ";"40,412 "
"605,410 ";"43,528 "
"608,200 ";"46,608 "
"610,989 ";"49,629 "
"613,779 ";"52,574 "
"616,569 ";"55,426 "
"619,359 ";"58,170 "
"622,149 ";"60,790 "
"624,939 ";"63,274 "
"627,729 ";"65,607 "
"630,519 ";"67,790 "
"633,309 ";"69,860 "
"636,099 ";"72,027 "
"638,888 ";"73,804 "
"641,678 ";"75,815 "
"644,468 ";"77,957 "
"647,258 ";"80,464 "
"650,048 ";"83,210 "
"652,838 ";"81,637 "
"655,628 ";"79,660 "
"658,418 ";"79,105 "
"661,208 ";"79,541 "
"663,998 ";"74,618 "
"666,788 ";"69,220 "
"669,577 ";"65,535 "
"672,367 ";"67,466 "
"675,157 ";"69,111 "
"677,947 ";"69,899 "
"680,737 ";"70,264 "
"683,527 ";"80,081 "
"686,317 ";"89,526 "
"689,107 ";"96,325 "
"691,897 ";"100,489 "
"694,687 ";"101,847 "
"697,477 ";"101,794 "
"700,266 ";"103,073 "
"703,056 ";"106,438 "
"705,846 ";"109,381 "
"708,636 ";"107,232 "
"711,426 ";"105,694 "
"714,216 ";"104,892 "
"717,006 ";"104,458 "
"719,796 ";"105,067 "
"722,586 ";"105,266 "
"725,376 ";"104,922 "
"728,165 ";"104,374 "
"730,955 ";"103,124 "
"733,745 ";"103,150 "
"736,535 ";"105,553 "
"739,325 ";"105,867 "
"742,115 ";"109,102 "
"744,905 ";"111,525 "
"747,695 ";"110,235 "
"750,485 ";"108,356 "
"753,275 ";"108,883 "
"756,065 ";"110,047 "
"758,854 ";"111,867 "
"761,644 ";"110,978 "
"764,434 ";"107,619 "
"767,224 ";"106,708 "
"770,014 ";"107,099 "
"772,804 ";"107,454 "
"775,594 ";"108,006 "
"778,384 ";"111,206 "
"781,174 ";"112,041 "
"783,964 ";"114,226 "
"786,753 ";"121,249 "
"789,543 ";"135,736 "
"792,333 ";"147,479 "
"795,123 ";"164,367 "
"797,913 ";"184,015 "
"800,703 ";"204,380 "
"803,493 ";"224,271 "
"806,283 ";"242,947 "
"809,073 ";"260,356 "
"811,863 ";"274,727 "
"814,653 ";"280,693 "
"817,442 ";"282,933 "
"820,232 ";"285,641 "
"823,022 ";"287,728 "
"825,812 ";"289,310 "
"828,602 ";"290,138 "
"831,392 ";"289,852 "
"834,182 ";"288,645 "
"836,972 ";"286,777 "
"839,762 ";"284,501 "
"842,552 ";"288,623 "
"845,342 ";"291,550 "
"848,131 ";"294,858 "
"850,921 ";"293,130 "
"853,711 ";"292,716 "
"856,501 ";"290,672 "
"859,291 ";"287,443 "
"862,081 ";"286,560 "
"864,871 ";"286,434 "
"867,661 ";"287,848 "
"870,451 ";"315,075 "
"873,241 ";"326,160 "
"876,030 ";"335,995 "
"878,820 ";"337,846 "
"881,610 ";"338,734 "
"884,400 ";"337,537 "
"887,190 ";"337,345 "
"889,980 ";"336,697 "
"892,770 ";"338,197 "
"895,560 ";"343,406 "
"898,350 ";"347,182 "
"901,140 ";"348,014 "
"903,930 ";"354,276 "
"906,719 ";"345,194 "
"909,509 ";"342,671 "
"912,299 ";"340,355 "
"915,089 ";"338,251 "
"917,879 ";"335,471 "
"920,669 ";"334,930 "
"923,459 ";"334,977 "
"926,249 ";"334,311 "
"929,039 ";"333,613 "
"931,829 ";"335,330 "
"934,619 ";"336,332 "
"937,408 ";"335,373 "
"940,198 ";"335,044 "
"942,988 ";"334,033 "
"945,778 ";"334,991 "
"948,568 ";"334,075 "
"951,358 ";"333,915 "
"954,148 ";"333,663 "
"956,938 ";"335,081 "
"959,728 ";"334,938 "
"962,518 ";"335,075 "
"965,307 ";"335,258 "
"968,097 ";"335,679 "
"970,887 ";"336,169 "
"973,677 ";"338,696 "
"976,467 ";"342,783 "
"979,257 ";"342,821 "
"982,047 ";"343,067 "
"984,837 ";"341,722 "
"987,627 ";"340,903 "
"990,417 ";"342,081 "
"993,207 ";"343,937 "
"995,996 ";"342,672 "
"998,786 ";"342,650 "
"1001,576 ";"341,392 "
"1004,366 ";"341,255 "
"1007,156 ";"338,313 "
"1009,946 ";"336,503 "
"1012,736 ";"335,485 "
"1015,526 ";"337,446 "
"1018,316 ";"340,512 "
"1021,106 ";"342,269 "
"1023,896 ";"343,670 "
"1026,685 ";"339,596 "
"1029,475 ";"335,446 "
"1032,265 ";"332,783 "
"1035,055 ";"334,576 "
"1037,845 ";"335,494 "
"1040,635 ";"335,437 "
"1043,425 ";"336,570 "
"1046,215 ";"337,439 "
"1049,005 ";"337,834 "
"1051,795 ";"337,365 "
"1054,584 ";"346,902 "
"1057,374 ";"347,323 "
"1060,164 ";"346,964 "
"1062,954 ";"345,695 "
"1065,744 ";"342,844 "
"1068,534 ";"338,172 "
"1071,324 ";"335,878 "
"1074,114 ";"335,751 "
"1076,904 ";"338,528 "
"1079,694 ";"340,093 "
"1082,484 ";"341,671 "
"1085,273 ";"341,720 "
"1088,063 ";"339,562 "
"1090,853 ";"340,870 "
"1093,643 ";"341,045 "
"1096,433 ";"342,137 "
"1099,223 ";"341,510 "
"1102,013 ";"341,043 "
"1104,803 ";"341,348 "
"1107,593 ";"339,958 "
"1110,383 ";"339,957 "
"1113,172 ";"338,987 "
"1115,962 ";"337,508 "
"1118,752 ";"338,328 "
"1121,542 ";"337,448 "
"1124,332 ";"338,277 "
"1127,122 ";"339,218 "
"1129,912 ";"338,042 "
"1132,702 ";"338,975 "
"1135,492 ";"337,414 "
"1138,282 ";"337,973 "
"1141,072 ";"338,644 "
"1143,861 ";"341,233 "
"1146,651 ";"341,843 "
"1149,441 ";"342,485 "
"1152,231 ";"343,270 "
"1155,021 ";"344,466 "
"1157,811 ";"347,854 "
"1160,601 ";"342,281 "
"1163,391 ";"338,327 "
"1166,181 ";"339,984 "
"1168,971 ";"338,578 "
"1171,761 ";"337,174 "
"1174,550 ";"336,569 "
"1177,340 ";"334,108 "
"1180,130 ";"330,125 "
"1182,920 ";"325,808 "
"1185,710 ";"321,405 "
"1188,500 ";"316,910 "
"1191,290 ";"312,303 "
"1194,080 ";"307,674 "
