"X(um)";"Z(um)"
"0,000 ";"99,452 "
"2,790 ";"99,468 "
"5,580 ";"101,170 "
"8,370 ";"104,665 "
"11,160 ";"106,340 "
"13,950 ";"112,412 "
"16,739 ";"115,450 "
"19,529 ";"115,695 "
"22,319 ";"113,604 "
"25,109 ";"108,215 "
"27,899 ";"108,148 "
"30,689 ";"107,214 "
"33,479 ";"109,856 "
"36,269 ";"109,140 "
"39,059 ";"109,577 "
"41,849 ";"109,306 "
"44,638 ";"107,699 "
"47,428 ";"107,086 "
"50,218 ";"107,640 "
"53,008 ";"109,559 "
"55,798 ";"109,561 "
"58,588 ";"111,287 "
"61,378 ";"113,001 "
"64,168 ";"113,392 "
"66,958 ";"113,242 "
"69,748 ";"115,048 "
"72,538 ";"116,480 "
"75,327 ";"116,635 "
"78,117 ";"115,961 "
"80,907 ";"124,660 "
"83,697 ";"121,695 "
"86,487 ";"123,551 "
"89,277 ";"118,080 "
"92,067 ";"119,103 "
"94,857 ";"117,235 "
"97,647 ";"115,440 "
"100,437 ";"112,063 "
"103,227 ";"111,658 "
"106,016 ";"106,914 "
"108,806 ";"100,944 "
"111,596 ";"100,427 "
"114,386 ";"99,865 "
"117,176 ";"101,913 "
"119,966 ";"101,862 "
"122,756 ";"104,293 "
"125,546 ";"104,361 "
"128,336 ";"105,107 "
"131,126 ";"105,473 "
"133,915 ";"105,263 "
"136,705 ";"105,318 "
"139,495 ";"106,414 "
"142,285 ";"108,327 "
"145,075 ";"110,012 "
"147,865 ";"110,773 "
"150,655 ";"110,872 "
"153,445 ";"108,568 "
"156,235 ";"107,887 "
"159,025 ";"107,400 "
"161,815 ";"106,866 "
"164,604 ";"105,089 "
"167,394 ";"104,332 "
"170,184 ";"104,890 "
"172,974 ";"107,414 "
"175,764 ";"106,386 "
"178,554 ";"105,566 "
"181,344 ";"104,065 "
"184,134 ";"101,045 "
"186,924 ";"103,065 "
"189,714 ";"104,545 "
"192,504 ";"102,120 "
"195,293 ";"99,351 "
"198,083 ";"100,257 "
"200,873 ";"102,052 "
"203,663 ";"101,290 "
"206,453 ";"101,701 "
"209,243 ";"102,342 "
"212,033 ";"103,916 "
"214,823 ";"103,402 "
"217,613 ";"103,705 "
"220,403 ";"103,474 "
"223,192 ";"103,168 "
"225,982 ";"102,715 "
"228,772 ";"104,582 "
"231,562 ";"109,261 "
"234,352 ";"111,872 "
"237,142 ";"112,598 "
"239,932 ";"110,880 "
"242,722 ";"109,131 "
"245,512 ";"110,403 "
"248,302 ";"113,149 "
"251,092 ";"111,568 "
"253,881 ";"101,412 "
"256,671 ";"102,903 "
"259,461 ";"102,351 "
"262,251 ";"102,138 "
"265,041 ";"102,280 "
"267,831 ";"104,902 "
"270,621 ";"105,603 "
"273,411 ";"108,930 "
"276,201 ";"95,057 "
"278,991 ";"95,318 "
"281,781 ";"94,113 "
"284,570 ";"93,378 "
"287,360 ";"97,412 "
"290,150 ";"98,662 "
"292,940 ";"99,213 "
"295,730 ";"100,277 "
"298,520 ";"102,158 "
"301,310 ";"103,903 "
"304,100 ";"100,954 "
"306,890 ";"100,185 "
"309,680 ";"100,877 "
"312,469 ";"100,631 "
"315,259 ";"97,689 "
"318,049 ";"93,547 "
"320,839 ";"87,517 "
"323,629 ";"87,187 "
"326,419 ";"88,834 "
"329,209 ";"91,575 "
"331,999 ";"98,970 "
"334,789 ";"111,135 "
"337,579 ";"116,101 "
"340,369 ";"121,319 "
"343,158 ";"116,183 "
"345,948 ";"116,101 "
"348,738 ";"113,958 "
"351,528 ";"109,494 "
"354,318 ";"109,550 "
"357,108 ";"106,336 "
"359,898 ";"104,816 "
"362,688 ";"100,923 "
"365,478 ";"101,786 "
"368,268 ";"103,908 "
"371,057 ";"103,098 "
"373,847 ";"101,349 "
"376,637 ";"100,224 "
