"X(um)";"Z(um)"
"633,309 ";"87,057 "
"636,099 ";"90,237 "
"638,888 ";"92,845 "
"641,678 ";"94,710 "
"644,468 ";"95,902 "
"647,258 ";"96,685 "
"650,048 ";"97,313 "
"652,838 ";"97,998 "
"655,628 ";"99,003 "
"658,418 ";"100,118 "
"661,208 ";"101,226 "
"663,998 ";"100,606 "
"666,788 ";"100,973 "
"669,577 ";"101,594 "
"672,367 ";"101,832 "
"675,157 ";"100,584 "
"677,947 ";"102,567 "
"680,737 ";"103,917 "
"683,527 ";"105,637 "
"686,317 ";"105,932 "
"689,107 ";"109,462 "
"691,897 ";"107,360 "
"694,687 ";"105,159 "
"697,477 ";"106,867 "
"700,266 ";"107,456 "
"703,056 ";"108,413 "
"705,846 ";"108,193 "
"708,636 ";"108,707 "
"711,426 ";"111,297 "
"714,216 ";"109,569 "
"717,006 ";"110,734 "
"719,796 ";"113,043 "
"722,586 ";"114,049 "
"725,376 ";"114,664 "
"728,165 ";"111,503 "
"730,955 ";"111,430 "
"733,745 ";"108,336 "
"736,535 ";"106,661 "
"739,325 ";"105,266 "
"742,115 ";"112,945 "
"744,905 ";"112,415 "
"747,695 ";"116,606 "
"750,485 ";"113,008 "
"753,275 ";"111,761 "
"756,065 ";"115,921 "
"758,854 ";"109,644 "
"761,644 ";"109,917 "
"764,434 ";"111,307 "
"767,224 ";"112,175 "
"770,014 ";"113,627 "
"772,804 ";"113,576 "
"775,594 ";"110,709 "
"778,384 ";"110,649 "
"781,174 ";"109,873 "
"783,964 ";"112,787 "
"786,753 ";"119,118 "
"789,543 ";"127,480 "
"792,333 ";"140,249 "
"795,123 ";"157,450 "
"797,913 ";"177,325 "
"800,703 ";"198,626 "
"803,493 ";"220,955 "
"806,283 ";"244,349 "
"809,073 ";"269,679 "
"811,863 ";"287,090 "
"814,653 ";"294,532 "
"817,442 ";"301,090 "
"820,232 ";"306,214 "
"823,022 ";"309,754 "
"825,812 ";"311,698 "
"828,602 ";"313,922 "
"831,392 ";"316,879 "
"834,182 ";"319,870 "
"836,972 ";"323,093 "
"839,762 ";"326,910 "
"842,552 ";"330,972 "
"845,342 ";"330,957 "
"848,131 ";"329,656 "
"850,921 ";"329,156 "
"853,711 ";"328,849 "
"856,501 ";"328,585 "
"859,291 ";"328,376 "
"862,081 ";"328,348 "
"864,871 ";"328,909 "
"867,661 ";"330,857 "
"870,451 ";"334,163 "
"873,241 ";"336,799 "
"876,030 ";"338,055 "
"878,820 ";"338,729 "
"881,610 ";"340,489 "
"884,400 ";"341,813 "
"887,190 ";"342,832 "
"889,980 ";"341,113 "
"892,770 ";"344,174 "
"895,560 ";"341,943 "
"898,350 ";"341,929 "
"901,140 ";"344,963 "
"903,930 ";"344,220 "
"906,719 ";"343,617 "
"909,509 ";"346,991 "
"912,299 ";"345,686 "
"915,089 ";"344,534 "
"917,879 ";"344,110 "
"920,669 ";"337,973 "
"923,459 ";"335,721 "
"926,249 ";"335,709 "
"929,039 ";"335,712 "
"931,829 ";"337,563 "
