"X(um)";"Z(um)"
"0,000 ";"99,631 "
"2,790 ";"100,423 "
"5,580 ";"98,581 "
"8,370 ";"99,862 "
"11,160 ";"106,818 "
"13,950 ";"106,474 "
"16,739 ";"108,555 "
"19,529 ";"109,775 "
"22,319 ";"109,965 "
"25,109 ";"109,750 "
"27,899 ";"107,810 "
"30,689 ";"107,897 "
"33,479 ";"106,510 "
"36,269 ";"106,230 "
"39,059 ";"108,001 "
"41,849 ";"108,661 "
"44,638 ";"109,023 "
"47,428 ";"109,112 "
"50,218 ";"108,549 "
"53,008 ";"105,416 "
"55,798 ";"107,690 "
"58,588 ";"110,776 "
"61,378 ";"113,195 "
"64,168 ";"114,110 "
"66,958 ";"112,113 "
"69,748 ";"111,472 "
"72,538 ";"114,599 "
"75,327 ";"116,244 "
"78,117 ";"116,250 "
"80,907 ";"119,871 "
"83,697 ";"118,482 "
"86,487 ";"117,902 "
"89,277 ";"120,784 "
"92,067 ";"117,666 "
"94,857 ";"116,566 "
"97,647 ";"116,189 "
"100,437 ";"114,319 "
"103,227 ";"111,237 "
"106,016 ";"109,471 "
"108,806 ";"102,415 "
"111,596 ";"99,910 "
"114,386 ";"97,958 "
"117,176 ";"97,064 "
"119,966 ";"97,639 "
"122,756 ";"99,760 "
"125,546 ";"102,857 "
"128,336 ";"100,132 "
"131,126 ";"101,992 "
"133,915 ";"103,183 "
"136,705 ";"102,740 "
"139,495 ";"101,814 "
"142,285 ";"98,587 "
"145,075 ";"101,166 "
"147,865 ";"98,191 "
"150,655 ";"101,671 "
"153,445 ";"103,289 "
"156,235 ";"105,233 "
"159,025 ";"108,223 "
"161,815 ";"110,163 "
"164,604 ";"109,218 "
"167,394 ";"105,962 "
"170,184 ";"103,253 "
"172,974 ";"103,949 "
"175,764 ";"103,184 "
"178,554 ";"103,953 "
"181,344 ";"99,983 "
"184,134 ";"94,574 "
"186,924 ";"107,634 "
"189,714 ";"92,755 "
"192,504 ";"105,681 "
"195,293 ";"101,779 "
"198,083 ";"103,028 "
"200,873 ";"100,372 "
"203,663 ";"100,705 "
"206,453 ";"102,258 "
"209,243 ";"101,957 "
"212,033 ";"105,859 "
"214,823 ";"103,767 "
"217,613 ";"105,198 "
"220,403 ";"101,525 "
"223,192 ";"103,451 "
"225,982 ";"102,369 "
"228,772 ";"100,421 "
"231,562 ";"104,321 "
"234,352 ";"108,095 "
"237,142 ";"109,749 "
"239,932 ";"110,221 "
"242,722 ";"107,979 "
"245,512 ";"107,301 "
"248,302 ";"107,273 "
"251,092 ";"106,221 "
"253,881 ";"101,328 "
"256,671 ";"104,731 "
"259,461 ";"103,767 "
"262,251 ";"103,229 "
"265,041 ";"102,548 "
"267,831 ";"100,489 "
"270,621 ";"91,069 "
"273,411 ";"89,973 "
