"X(um)";"Z(um)"
"0,000 ";"102,527 "
"2,790 ";"102,774 "
"5,580 ";"104,425 "
"8,370 ";"109,280 "
"11,160 ";"115,616 "
"13,950 ";"118,603 "
"16,739 ";"116,668 "
"19,529 ";"115,385 "
"22,319 ";"115,711 "
"25,109 ";"112,715 "
"27,899 ";"113,394 "
"30,689 ";"112,151 "
"33,479 ";"110,259 "
"36,269 ";"107,455 "
"39,059 ";"106,357 "
"41,849 ";"107,848 "
"44,638 ";"107,394 "
"47,428 ";"106,820 "
"50,218 ";"108,266 "
"53,008 ";"111,436 "
"55,798 ";"114,013 "
"58,588 ";"114,783 "
"61,378 ";"115,201 "
"64,168 ";"113,151 "
"66,958 ";"114,249 "
"69,748 ";"113,820 "
"72,538 ";"114,691 "
"75,327 ";"114,303 "
"78,117 ";"116,737 "
"80,907 ";"117,037 "
"83,697 ";"118,998 "
"86,487 ";"119,811 "
"89,277 ";"120,148 "
"92,067 ";"124,801 "
"94,857 ";"118,649 "
"97,647 ";"115,852 "
"100,437 ";"112,331 "
"103,227 ";"107,150 "
"106,016 ";"103,703 "
"108,806 ";"102,090 "
"111,596 ";"102,087 "
"114,386 ";"104,822 "
"117,176 ";"104,150 "
"119,966 ";"103,678 "
"122,756 ";"103,341 "
"125,546 ";"104,392 "
"128,336 ";"104,706 "
"131,126 ";"107,383 "
"133,915 ";"111,364 "
"136,705 ";"109,143 "
"139,495 ";"108,833 "
"142,285 ";"109,561 "
"145,075 ";"110,866 "
"147,865 ";"112,045 "
"150,655 ";"111,923 "
"153,445 ";"109,551 "
"156,235 ";"106,239 "
"159,025 ";"105,878 "
"161,815 ";"101,174 "
"164,604 ";"103,578 "
"167,394 ";"104,498 "
"170,184 ";"106,645 "
"172,974 ";"107,769 "
"175,764 ";"104,991 "
"178,554 ";"102,282 "
"181,344 ";"107,235 "
"184,134 ";"103,779 "
"186,924 ";"103,858 "
"189,714 ";"103,079 "
"192,504 ";"103,892 "
"195,293 ";"103,742 "
"198,083 ";"102,531 "
"200,873 ";"100,700 "
"203,663 ";"100,026 "
"206,453 ";"100,386 "
"209,243 ";"100,643 "
"212,033 ";"102,818 "
"214,823 ";"103,350 "
"217,613 ";"104,101 "
"220,403 ";"103,589 "
"223,192 ";"103,535 "
"225,982 ";"104,125 "
"228,772 ";"109,755 "
"231,562 ";"102,057 "
"234,352 ";"103,445 "
"237,142 ";"105,089 "
"239,932 ";"105,513 "
"242,722 ";"105,202 "
"245,512 ";"104,535 "
"248,302 ";"103,178 "
"251,092 ";"99,020 "
"253,881 ";"99,884 "
"256,671 ";"109,494 "
"259,461 ";"103,287 "
"262,251 ";"103,437 "
"265,041 ";"104,216 "
"267,831 ";"105,001 "
"270,621 ";"107,808 "
"273,411 ";"104,763 "
"276,201 ";"104,014 "
"278,991 ";"102,370 "
"281,781 ";"97,389 "
"284,570 ";"97,297 "
"287,360 ";"97,406 "
"290,150 ";"96,809 "
"292,940 ";"100,047 "
"295,730 ";"100,697 "
"298,520 ";"102,096 "
"301,310 ";"103,605 "
"304,100 ";"102,812 "
"306,890 ";"99,653 "
"309,680 ";"97,433 "
"312,469 ";"91,712 "
"315,259 ";"89,930 "
"318,049 ";"87,764 "
"320,839 ";"87,272 "
"323,629 ";"91,724 "
"326,419 ";"98,390 "
"329,209 ";"106,339 "
"331,999 ";"116,311 "
"334,789 ";"122,373 "
"337,579 ";"123,348 "
"340,369 ";"122,542 "
"343,158 ";"121,501 "
"345,948 ";"118,918 "
"348,738 ";"115,299 "
"351,528 ";"111,638 "
"354,318 ";"108,430 "
"357,108 ";"106,100 "
"359,898 ";"101,037 "
"362,688 ";"96,568 "
"365,478 ";"97,613 "
"368,268 ";"100,424 "
"371,057 ";"97,529 "
"373,847 ";"96,077 "
"376,637 ";"95,016 "
"379,427 ";"94,489 "
"382,217 ";"85,729 "
"385,007 ";"78,004 "
"387,797 ";"71,440 "
"390,587 ";"70,190 "
"393,377 ";"73,230 "
"396,167 ";"74,655 "
"398,957 ";"74,075 "
"401,746 ";"70,761 "
"404,536 ";"69,506 "
"407,326 ";"66,104 "
"410,116 ";"66,375 "
"412,906 ";"61,930 "
"415,696 ";"61,878 "
"418,486 ";"58,187 "
"421,276 ";"48,516 "
"424,066 ";"53,678 "
"426,856 ";"48,555 "
"429,646 ";"46,320 "
"432,435 ";"44,894 "
"435,225 ";"42,663 "
"438,015 ";"39,942 "
"440,805 ";"37,178 "
"443,595 ";"34,732 "
"446,385 ";"32,819 "
"449,175 ";"31,462 "
"451,965 ";"30,550 "
"454,755 ";"29,935 "
"457,545 ";"29,494 "
"460,334 ";"29,150 "
"463,124 ";"28,863 "
"465,914 ";"28,615 "
"468,704 ";"28,403 "
"471,494 ";"28,236 "
"474,284 ";"28,123 "
"477,074 ";"28,069 "
"479,864 ";"28,072 "
"482,654 ";"28,130 "
"485,444 ";"28,236 "
"488,234 ";"28,385 "
"491,023 ";"28,569 "
"493,813 ";"28,779 "
"496,603 ";"29,002 "
"499,393 ";"29,221 "
"502,183 ";"29,418 "
"504,973 ";"29,581 "
"507,763 ";"29,698 "
"510,553 ";"29,766 "
"513,343 ";"29,778 "
"516,133 ";"29,732 "
"518,923 ";"29,625 "
"521,712 ";"29,454 "
"524,502 ";"29,218 "
"527,292 ";"28,923 "
"530,082 ";"28,573 "
"532,872 ";"28,176 "
"535,662 ";"27,736 "
"538,452 ";"27,256 "
"541,242 ";"26,739 "
"544,032 ";"26,190 "
"546,822 ";"25,619 "
"549,611 ";"25,048 "
"552,401 ";"24,520 "
"555,191 ";"24,111 "
"557,981 ";"23,923 "
"560,771 ";"24,072 "
"563,561 ";"24,678 "
"566,351 ";"25,811 "
"569,141 ";"27,379 "
"571,931 ";"29,184 "
"574,721 ";"31,097 "
"577,511 ";"33,095 "
"580,300 ";"35,199 "
"583,090 ";"37,434 "
"585,880 ";"39,817 "
"588,670 ";"42,354 "
"591,460 ";"45,043 "
"594,250 ";"47,870 "
"597,040 ";"50,809 "
"599,830 ";"53,827 "
"602,620 ";"56,888 "
"605,410 ";"59,958 "
"608,200 ";"63,005 "
"610,989 ";"66,011 "
"613,779 ";"68,982 "
"616,569 ";"71,943 "
"619,359 ";"74,904 "
"622,149 ";"77,835 "
"624,939 ";"80,639 "
"627,729 ";"83,156 "
"630,519 ";"85,160 "
"633,309 ";"86,771 "
"636,099 ";"87,590 "
"638,888 ";"90,357 "
"641,678 ";"83,933 "
"644,468 ";"84,159 "
"647,258 ";"81,500 "
"650,048 ";"76,024 "
"652,838 ";"74,603 "
"655,628 ";"77,240 "
"658,418 ";"77,403 "
"661,208 ";"76,194 "
"663,998 ";"75,386 "
"666,788 ";"77,598 "
"669,577 ";"85,151 "
"672,367 ";"92,606 "
"675,157 ";"96,483 "
"677,947 ";"100,154 "
"680,737 ";"98,870 "
"683,527 ";"99,025 "
"686,317 ";"98,028 "
"689,107 ";"98,885 "
"691,897 ";"99,445 "
